province,year,gdp,gdp_growth,retail,income,cpi,unemployment,fixed_invest,fiscal_revenue
北京市,2023,47353.7,5.200000000000003,14462.7,81752.0,100.4,3.0485186775440103,3.0,6181.1
天津市,2023,17211.8,4.299999999999997,3820.7,51271.0,100.4,6.3145470640306876,4.9,2027.51
河北省,2023,45660.0,5.5,15040.5,32903.0,100.6,0.16533480297602646,-16.4,4286.6
山西省,2023,26050.8,5.0,7981.8,30924.0,99.9,1.525658807212205,6.3,3479.37
内蒙古自治区,2023,25020.5,7.299999999999997,5374.3,38130.0,100.6,2.117685095376657,-6.6,3083.64
辽宁省,2023,31389.8,5.299999999999997,10362.1,37992.0,100.1,2.6037542503144064,19.8,2755.29
吉林省,2023,13942.7,6.299999999999997,4150.4,29797.0,99.9,2.0264612292748283,4.0,1074.84
黑龙江省,2023,16470.7,2.5999999999999943,5634.2,29694.0,100.6,1.1318491867176375,0.3,1396.15
上海市,2023,51404.5,5.0,18515.5,84834.0,100.3,5.368324773095054,-14.8,8312.5
江苏省,2023,130924.3,5.799999999999997,45547.5,52674.0,100.4,1.3191428629681736,13.8,9930.18
浙江省,2023,85619.6,6.0,32550.2,63830.0,100.3,1.189456176604002,5.2,8600.51
安徽省,2023,48227.5,5.799999999999997,23008.3,34893.0,100.2,0.5175208878912583,6.1,3939.16
福建省,2023,54801.7,4.5,22109.6,45426.0,100.0,1.1321095124261424,4.0,3592.04
江西省,2023,32677.1,4.099999999999994,13659.8,34242.0,100.3,1.609702315325248,2.5,3059.59
山东省,2023,94206.4,6.0,36141.8,39890.0,100.1,0.6126112787103699,-5.9,7464.78
河南省,2023,60627.7,4.099999999999994,26004.4,29933.0,99.8,1.344558420859046,5.2,4518.1
湖北省,2023,56794.3,6.0,24041.9,35146.0,100.1,1.2952346285679621,2.1,3692.79
湖南省,2023,50667.5,4.599999999999994,20203.3,35895.0,100.2,0.5589337264295805,5.0,3360.51
广东省,2023,137905.4,4.799999999999997,47494.9,49327.0,100.4,1.5979697696469404,-3.1,13850.78
广西壮族自治区,2023,27501.7,4.099999999999994,8651.6,29514.0,99.8,0.823529411764706,2.5,1783.8
海南省,2023,7590.2,9.200000000000003,2511.3,33192.0,100.3,1.9886363636363633,-15.5,900.71
重庆市,2023,30614.3,6.099999999999994,15130.3,37595.0,99.7,0.3597122302158274,1.1,2440.77
四川省,2023,61353.4,6.0,26313.4,32514.0,100.0,1.7294124992195787,4.3,5529.09
贵州省,2023,21513.7,4.900000000000006,9011.2,27098.0,99.7,1.3870714472651138,2.4,2078.37
云南省,2023,30595.8,4.400000000000006,11560.7,28421.0,100.3,1.3852006028852366,-5.7,2149.44
西藏自治区,2023,2532.9,9.5,879.8,28983.0,99.9,0.35952747817154596,-10.6,236.62
陕西省,2023,33976.5,4.299999999999997,10759.0,32128.0,100.1,0.9265858873841768,35.1,3437.6
甘肃省,2023,12345.7,6.400000000000006,4329.7,25011.0,100.5,1.5338570894126449,0.2,1003.58
青海省,2023,3849.2,5.299999999999997,987.7,28587.0,100.5,0.9864815491413957,5.9,381.34
宁夏回族自治区,2023,5368.8,6.599999999999994,1354.9,31604.0,100.4,4.721989382509081,-7.5,502.31
新疆维吾尔自治区,2023,19603.3,6.799999999999997,3849.7,28947.0,100.0,1.3012870653487878,5.5,2179.69
